N,seed,user,x,y
100,10001,30,757.0618093062,298.8319202011
100,10001,31,367.8974326045,226.5957409963
100,10001,32,615.0446659785,180.0789180490
100,10001,33,212.0349160699,312.1190316478
100,10001,34,742.4666415882,668.8913125453
100,10001,35,434.1723395798,902.1537224939
100,10001,36,430.3340604485,122.0610133870
100,10001,37,907.4789329662,791.1516326797
100,10001,38,678.5793466264,714.3924956933
100,10001,39,770.8313544251,286.8548284872
100,10001,40,882.5517865054,870.0916492454
100,10001,41,329.2518761803,677.3914592522
100,10001,42,732.5151936890,299.1637549554
100,10001,43,754.3847646740,750.9978879034
100,10001,44,238.2069506866,680.2904797264
100,10001,45,956.8345057429,674.1989710460
100,10001,46,529.9497474062,52.1661733792
100,10001,47,131.6760654066,213.2876324368
100,10001,48,838.1334637367,604.1025296230
100,10001,49,650.3250815312,839.0945983830
100,10001,50,284.8295361281,703.0754278318
100,10001,51,169.7012850173,798.6539225013
100,10001,52,712.0282680597,582.2588229779
100,10001,53,716.1878790371,806.8562198875
100,10001,54,754.5885466090,346.0319362665
100,10001,55,436.7902665005,104.6879357988
100,10001,56,278.9834210010,246.5662048058
100,10001,57,872.8275047129,239.6836725763
100,10001,58,202.6015283365,262.7653449657
100,10001,59,267.8731606203,823.0752951787
100,10001,60,626.9747421537,350.5307132646
100,10001,61,988.1798444685,326.7637044664
100,10001,62,190.5619188561,230.5789756657
100,10001,63,864.4879791355,375.6385556429
100,10001,64,0.0000000000,789.5463456929
100,10001,65,156.5780402559,895.6687067913
100,10001,66,542.4313871262,514.9402592308
100,10001,67,710.6300577888,24.3897522039
100,10001,68,813.8853660472,224.0672774715
100,10001,69,733.6257099776,206.7630065864
100,10001,70,276.1503187860,844.7778483857
100,10001,71,722.1876214362,585.0221569708
100,10001,72,360.3167153386,305.0787928121
100,10001,73,280.0202682909,231.5417391937
100,10001,74,234.2768371111,840.8215784220
100,10001,75,0.6060479276,212.3703175811
100,10001,76,343.8220265702,404.8444150718
100,10001,77,1000.0000000000,267.5740038838
100,10001,78,0.0000000000,447.7943769712
100,10001,79,297.0900367565,886.5401176687
100,10001,80,378.0583416009,830.2346140847
100,10001,81,236.2793670440,757.9579006255
100,10001,82,592.6264131147,889.1558969647
100,10001,83,18.4518807250,638.5235556488
100,10001,84,966.4870170892,843.3414459738
100,10001,85,634.4699813401,344.4059405578
100,10001,86,122.7208969348,675.8522202505
100,10001,87,286.9642155146,640.2317577504
100,10001,88,333.3956607652,552.5316307894
100,10001,89,733.5289098943,266.2639507804
100,10001,90,0.0000000000,646.1038794985
100,10001,91,206.8180018323,276.3686592003
100,10001,92,956.3559839069,297.5456477794
100,10001,93,124.9825243446,268.9612811887
100,10001,94,613.0981303001,317.5016530163
100,10001,95,220.6107862772,896.8662853224
100,10001,96,6.5499920671,229.9285779654
100,10001,97,798.2147796391,117.3375415197
100,10001,98,272.6058180926,899.0470124320
100,10001,99,123.1572695119,228.1660361599
100,10002,0,0.0000000000,340.6622582710
100,10002,1,852.6976440792,211.2198962197
100,10002,2,236.9567067269,396.2147856711
100,10002,3,648.6513061565,1000.0000000000
100,10002,4,620.2451216044,256.7236585771
100,10002,5,908.6465643736,55.2460508450
100,10002,6,1000.0000000000,882.3483343643
100,10002,7,326.8521868946,196.9912500916
100,10002,8,370.8495951174,276.7728018854
100,10002,9,743.5257624322,887.7123726153
100,10002,10,226.4330078043,842.1334680289
100,10002,11,123.5250389543,855.7994875929
100,10002,12,900.7119186658,314.3656165143
100,10002,13,717.6987179734,667.0211399664
100,10002,14,328.7514881886,228.3690106305
100,10002,15,650.0488410061,826.8069313305
100,10002,16,158.2451410677,224.4753733012
100,10002,17,159.0752345580,514.5553512953
100,10002,18,831.7023951299,690.3231988940
100,10002,19,363.6260973834,132.6533494132
100,10002,20,208.0193000810,222.0656801470
100,10002,21,129.1927375023,233.6631770341
100,10002,22,153.4711890879,689.0033824170
100,10002,23,737.9929866536,267.4363891477
100,10002,24,733.2544423570,260.2211011112
100,10002,25,593.7183988644,846.1848608782
100,10002,26,831.3143473083,485.5969958368
100,10002,27,498.2203739675,816.0855230279
100,10002,28,831.6048420848,857.5972082683
100,10002,29,795.2257699971,116.9647568608
100,10002,30,552.3240424082,762.7152965987
100,10002,31,757.1411276241,271.9982227331
100,10002,32,78.4690035392,324.8960109565
100,10002,33,923.0139951708,645.3954551996
100,10002,34,774.1460084927,242.4014952703
100,10002,35,543.3602104161,334.8512099309
100,10002,36,879.2321334437,565.3034164443
100,10002,37,402.7598878003,550.3387496547
100,10002,38,617.4372920880,658.9395723454
100,10002,39,628.3084408972,757.7339628098
100,10002,40,857.3742335881,205.5482555057
100,10002,41,248.1977415047,698.0920173628
100,10002,42,102.5834502996,815.8871344789
100,10002,43,811.4104592694,882.2612050880
100,10002,44,904.9118640521,395.0164636976
100,10002,45,310.1800269377,1000.0000000000
100,10002,46,123.9413935103,32.6557591019
100,10002,47,390.1765174380,723.9011790964
100,10002,48,425.4394221634,874.0623217440
100,10002,49,293.4160608702,775.8544988715
100,10002,50,586.1542076638,399.2467816364
100,10002,51,332.5604156012,700.8588484778
100,10002,52,642.6290089800,412.5440648561
100,10002,53,613.5895194210,48.9498593195
100,10002,54,801.4535718683,614.7614233272
100,10002,55,677.3802542651,315.9456277277
100,10002,56,131.5882369782,372.6649858921
100,10002,57,415.4400616947,647.5328707663
100,10002,58,344.1090885338,316.4141682750
100,10002,59,114.1663208610,871.1343242521
100,10002,60,518.2467114192,148.2945943874
100,10002,61,694.6329730339,509.2760335295
100,10002,62,405.7403319874,409.4268860973
100,10002,63,817.7829456504,139.6164616618
100,10002,64,1000.0000000000,849.8927138616
100,10002,65,56.6558217023,264.8584603471
100,10002,66,749.6417660370,824.7297430244
100,10002,67,617.6590147510,102.2854043704
100,10002,68,779.7568647531,682.9390182840
100,10002,69,567.0501093517,247.9329884150
100,10002,70,102.2849988189,743.1690536617
100,10002,71,812.6515807115,637.6530425906
100,10002,72,303.4922454143,238.4610954904
100,10002,73,884.2923977018,220.3841454011
100,10002,74,272.2740768831,895.9160151178
100,10002,75,853.3229351393,66.1326479273
100,10002,76,707.3835352812,486.4430561543
100,10002,77,277.5053768738,751.1345721727
100,10002,78,707.7658083869,746.5016625629
100,10002,79,331.7553301342,171.3816982682
100,10002,80,749.5367912682,273.4505539975
100,10002,81,160.4870950440,736.2304552078
100,10002,82,615.2795714479,169.7074670347
100,10002,83,230.4254578770,653.4321540179
100,10002,84,646.9211452773,940.7304767669
100,10002,85,232.0442346177,735.1484824704
100,10002,86,184.6620309302,288.5177621745
100,10002,87,780.1455102246,569.7065173362
100,10002,88,636.3263114137,455.6903604625
100,10002,89,591.7486860912,675.4866203704
100,10002,90,211.5555204725,189.5463045515
100,10002,91,685.9257771127,609.8263690573
100,10002,92,122.1830358154,882.5605310152
100,10002,93,766.6352177252,277.9360871350
100,10002,94,722.8398524199,790.5133609975
100,10002,95,489.4215406823,763.7031011797
100,10002,96,555.1189590825,618.3048485634
100,10002,97,291.6616277948,309.3481399338
100,10002,98,745.9171867437,806.6824902117
100,10002,99,644.9768692675,779.4109930205
100,10003,0,418.4958669335,245.8959866321
100,10003,1,276.0108649424,260.7506874700
100,10003,2,268.8090506454,85.0150874063
100,10003,3,143.8846524194,1000.0000000000
100,10003,4,388.1161335215,497.5585610797
100,10003,5,709.8598250507,771.7133501077
100,10003,6,172.0984576740,792.2365043643
100,10003,7,909.5309811555,396.0457099193
100,10003,8,731.1711174082,706.4908507281
100,10003,9,804.6615774014,698.3956997269
100,10003,10,713.3585101928,586.0931133319
100,10003,11,723.4481753634,287.1683111520
100,10003,12,772.1438650938,324.4348656148
100,10003,13,274.8035937930,841.0534397519
100,10003,14,529.9047634490,704.5507298360
100,10003,15,704.8708552935,651.5218752487
100,10003,16,383.7140555269,834.8532042074
100,10003,17,232.8839363972,843.3216997016
100,10003,18,273.0173066149,159.2913792182
100,10003,19,668.4577432866,462.7255183232
100,10003,20,630.5433122451,289.7682554642
100,10003,21,266.3486629753,286.9393343264
100,10003,22,535.5131158386,762.1062138210
100,10003,23,670.1435755902,106.4779714756
100,10003,24,211.8649829506,152.2566758581
100,10003,25,341.2083843806,888.1599789705
100,10003,26,837.9591423049,175.0622809728
100,10003,27,883.5801394535,190.2662511971
100,10003,28,270.4198111207,335.5458651725
100,10003,29,232.3471546341,319.4561417156
100,10003,30,251.8813504861,627.3646363764
100,10003,31,93.7108873097,822.0212002186
100,10003,32,187.1497396470,977.6209592472
100,10003,33,139.2156138438,757.2540810252
100,10003,34,863.2769572687,949.0707689175
100,10003,35,271.2399163957,40.9252745184
100,10003,36,310.7384563740,528.2048598466
100,10003,37,212.9056443745,185.2738668298
100,10003,38,0.0000000000,511.4536067483
100,10003,39,325.0595897473,66.0021698415
100,10003,40,752.4091061610,701.7171784916
100,10003,41,67.6206116784,604.8349668748
100,10003,42,198.7721323995,229.0334616503
100,10003,43,233.5505702531,281.7790288773
100,10003,44,625.0265735120,737.2313043561
100,10003,45,181.7540568190,750.3009798527
100,10003,46,202.7588188291,531.2020960297
100,10003,47,122.6432937680,350.6932775382
100,10003,48,555.0749995839,487.2383822251
100,10003,49,628.6142171168,664.0220779391
100,10003,50,375.1668577591,174.0943108721
100,10003,51,165.1753249033,799.5899413023
100,10003,52,655.0971518238,309.9182558549
100,10003,53,910.7479545440,724.3567345778
100,10003,54,608.4283195441,394.5896838358
100,10003,55,879.8930826623,612.5699104640
100,10003,56,757.3725050214,660.9943522214
100,10003,57,770.5556533718,716.1188215814
100,10003,58,736.1605496522,574.7545768759
100,10003,59,177.2734182814,723.1253780167
100,10003,60,648.4278783892,754.0532011232
100,10003,61,573.8366048527,418.6901194365
100,10003,62,208.2909171031,111.4522578921
100,10003,63,662.2956307058,225.7651384515
100,10003,64,57.2377382137,38.4636244245
100,10003,65,604.8184590173,585.7484615483
100,10003,66,162.3186820702,178.0980568281
100,10003,67,82.6760655183,701.4421741218
100,10003,68,223.3849361661,677.0739819498
100,10003,69,667.5022709109,976.7207635053
100,10003,70,823.7913219309,555.0380853109
100,10003,71,834.7963638073,715.5221333098
100,10003,72,383.2648844368,86.2121883527
100,10003,73,1000.0000000000,781.5746617992
100,10003,74,849.2659476322,443.3151374523
100,10003,75,866.7400222177,389.4991486768
100,10003,76,219.5998124412,774.0545492701
100,10003,77,321.3946367716,750.8898798383
100,10003,78,700.0576970227,214.7836655771
100,10003,79,674.2230864724,720.4854954138
100,10003,80,129.1158765502,319.2783338830
100,10003,81,156.5044697347,647.6352610812
100,10003,82,275.8540109631,138.6678016786
100,10003,83,368.6188301157,615.2805561384
100,10003,84,582.2715755592,639.2253784818
100,10003,85,817.1973832967,625.9467815577
100,10003,86,755.0052476069,976.9485402539
100,10003,87,750.0311709402,245.2188221600
100,10003,88,400.5214291578,34.7013551365
100,10003,89,258.7538213263,151.0122155132
100,10003,90,262.3093840048,638.6126542438
100,10003,91,781.9453233732,239.7920766319
100,10003,92,708.0649625479,594.2927559171
100,10003,93,354.2969919440,612.0438349379
100,10003,94,738.8295499320,412.9271350259
100,10003,95,721.5790855883,158.9548553971
100,10003,96,718.8886893589,288.9641563525
100,10003,97,22.4271198454,750.4363660673
100,10003,98,698.3809648356,920.1651541088
100,10003,99,683.0913416636,808.3000970823
100,10004,0,652.2277137442,724.0496596719
100,10004,1,828.2932567217,922.5035153239
100,10004,2,724.2140306412,435.8492439802
100,10004,3,138.6658697653,1000.0000000000
100,10004,4,822.7524980837,644.7393501453
100,10004,5,840.8082517035,240.4756195913
100,10004,6,767.6224085556,105.5253810420
100,10004,7,695.6160229424,346.0011452842
100,10004,8,149.7991186895,918.7856952762
100,10004,9,6.1369757331,747.3813309948
100,10004,10,462.9666725997,507.8832122675
100,10004,11,197.2821467195,387.4502289133
100,10004,12,635.4917928539,421.4447989720
100,10004,13,734.0490140928,151.7061913987
100,10004,14,851.9550585013,831.6634312489
100,10004,15,338.1462805399,731.7450777779
100,10004,16,584.5330795955,57.9546025053
100,10004,17,365.5349200232,621.1929374685
100,10004,18,713.2671718504,172.5272210159
100,10004,19,748.3583992395,705.6613998288
100,10004,20,182.0068344176,941.6485556687
100,10004,21,356.6497636029,95.1249509738
100,10004,22,621.2160682536,316.8176414790
100,10004,23,830.2282805597,246.1819937750
100,10004,24,914.2051356448,717.4357516610
100,10004,25,238.3963865747,838.0946837250
100,10004,26,967.3403090727,719.6323372343
100,10004,27,280.9856398609,188.9385417893
100,10004,28,248.6534144106,257.3818500744
100,10004,29,288.2649374838,27.1917284083
100,10004,30,295.4320588742,254.3163925108
100,10004,31,200.6577481809,669.4738314843
100,10004,32,258.7386789659,262.2277962368
100,10004,33,1000.0000000000,363.6524262102
100,10004,34,619.5992985962,366.6038818557
100,10004,35,914.6865029935,860.7264756487
100,10004,36,732.1925060690,15.9320810879
100,10004,37,617.2217494427,766.4024830477
100,10004,38,675.1428081075,159.3547695942
100,10004,39,284.6702531671,788.5487981405
100,10004,40,565.5176200028,151.1190624929
100,10004,41,588.9022428947,781.2422871232
100,10004,42,190.2123805534,597.4506916137
100,10004,43,597.7224225862,277.8385836339
100,10004,44,283.8360230786,729.3027222722
100,10004,45,767.6067498752,146.7679775232
100,10004,46,770.3521717829,48.1240275450
100,10004,47,324.6465843809,581.4255349338
100,10004,48,204.9460297695,207.1873286144
100,10004,49,736.9926799697,705.0819522916
100,10004,50,668.2882350000,779.9814035501
100,10004,51,337.0872698724,700.0017706826
100,10004,52,259.8493648172,561.3245693712
100,10004,53,720.2484586572,353.5577427824
100,10004,54,754.5163778090,748.1717269728
100,10004,55,708.7987758167,300.8367406256
100,10004,56,882.0573219288,942.0078516393
100,10004,57,258.6646854294,134.0510556728
100,10004,58,541.6569769880,952.8238730241
100,10004,59,225.2386557693,567.1592336513
100,10004,60,419.3507741490,799.1812291637
100,10004,61,482.2306283273,314.1230732907
100,10004,62,734.4712904048,831.2384588282
100,10004,63,750.4776869328,291.5186300942
100,10004,64,321.2539769074,521.8220046387
100,10004,65,300.4607719302,500.8145273515
100,10004,66,397.3184315671,219.8439873159
100,10004,67,102.4194787514,791.6953389387
100,10004,68,176.4940637695,214.1937242610
100,10004,69,94.2841454476,617.6451143671
100,10004,70,271.3378551753,267.1583515605
100,10004,71,293.1157482083,262.8536428504
100,10004,72,251.0201426335,113.5862142385
100,10004,73,351.9817644900,299.4357230754
100,10004,74,785.3355273470,284.5051971744
100,10004,75,100.8178272587,801.8664953981
100,10004,76,661.9743901871,745.2863452281
100,10004,77,351.0328204022,748.3725440040
100,10004,78,718.5537066874,680.5375083681
100,10004,79,752.3955873502,288.3915819901
100,10004,80,482.4526461599,600.1932379122
100,10004,81,238.0472232636,557.2561392661
100,10004,82,319.4234061611,744.3567401433
100,10004,83,792.2651960625,753.1013719277
100,10004,84,866.5154216128,603.4995393134
100,10004,85,569.1526753675,349.3590416005
100,10004,86,872.0235476756,314.8623978571
100,10004,87,234.1294189468,646.8287016853
100,10004,88,46.3496097250,484.3556527140
100,10004,89,514.5305490233,678.6478806375
100,10004,90,356.4022909329,143.8422564319
100,10004,91,277.2366385582,391.7514132897
100,10004,92,385.3594550135,288.5510463874
100,10004,93,660.8370390840,726.1882441735
100,10004,94,277.5778108372,306.5587939978
100,10004,95,395.1351968321,660.4550873111
100,10004,96,764.1340827375,674.0859768092
100,10004,97,830.9617278471,133.7220669061
100,10004,98,207.4644955027,324.8178215290
100,10004,99,723.6798740840,810.4694237869
100,10005,0,523.4049843437,915.0864111244
100,10005,1,711.2022112302,864.4147148510
100,10005,2,784.5338197501,39.2395467528
100,10005,3,132.8232166700,1000.0000000000
100,10005,4,0.0000000000,709.4315983521
100,10005,5,127.4131827404,213.8125278713
100,10005,6,909.7802584876,895.7117591448
100,10005,7,10.0966029836,678.4801328522
100,10005,8,870.8104315541,239.0127598202
100,10005,9,360.7932248152,859.1484360290
100,10005,10,650.7084449547,206.8273062129
100,10005,11,710.0815971547,1000.0000000000
100,10005,12,638.4427131279,261.6357585555
100,10005,13,255.8192711786,354.5424590969
100,10005,14,731.6028815448,709.1956677213
100,10005,15,248.5133450674,819.8379813051
100,10005,16,782.8052256240,824.0840777486
100,10005,17,224.4638751274,757.6128153293
100,10005,18,179.7527284643,717.2030649749
100,10005,19,792.9234656085,341.1607400420
100,10005,20,779.7472490492,796.6587211839
100,10005,21,136.9720765476,244.1213701463
100,10005,22,279.0924971920,204.7138359917
100,10005,23,164.5856473268,445.2122630931
100,10005,24,255.3617234609,1000.0000000000
100,10005,25,70.1197840065,909.5494880842
100,10005,26,833.4508699416,288.0685496581
100,10005,27,706.4674809554,547.0587652972
100,10005,28,134.9675576071,419.9624167731
100,10005,29,237.1943815328,390.2083169610
100,10005,30,716.1971375908,941.9686286809
100,10005,31,948.1080317063,593.7995813230
100,10005,32,820.7030407963,754.2893062624
100,10005,33,157.5820355972,135.5655702507
100,10005,34,140.5337660287,670.3975506771
100,10005,35,84.1058973618,838.1004933474
100,10005,36,152.3948879539,30.9411475663
100,10005,37,695.8585227041,442.3381866309
100,10005,38,141.4485159299,73.3014815207
100,10005,39,627.3827419382,785.4564133024
100,10005,40,638.8079527625,832.2015570259
100,10005,41,693.4913457861,849.7517249843
100,10005,42,774.6089973603,697.0521710293
100,10005,43,712.0734408102,215.9550976380
100,10005,44,683.9165609690,419.8582845302
100,10005,45,880.0389418004,296.3599852636
100,10005,46,824.4647561185,580.2560828830
100,10005,47,264.3330052185,460.2361849856
100,10005,48,323.2701805972,183.2840514343
100,10005,49,312.7602563178,597.7406756243
100,10005,50,529.2716072255,705.4492872442
100,10005,51,660.6560529999,300.3640960191
100,10005,52,784.9935066687,777.5692525464
100,10005,53,717.6510843250,721.7476019509
100,10005,54,160.5072525106,747.6141923331
100,10005,55,338.0850231775,622.6079926296
100,10005,56,123.1264199294,713.0490491712
100,10005,57,178.4879597953,79.1181898609
100,10005,58,337.5125676648,759.2635473134
100,10005,59,314.7924716716,703.4323403654
100,10005,60,730.5537329936,236.5483939664
100,10005,61,186.8625940808,520.4816363082
100,10005,62,912.1716861245,545.3698352967
100,10005,63,480.5364897296,180.5499654698
100,10005,64,811.9192089971,0.0000000000
100,10005,65,546.4061552393,107.8579822277
100,10005,66,660.5891826278,421.6851301762
100,10005,67,159.7888801246,849.3027944926
100,10005,68,668.4218021996,776.5167399393
100,10005,69,904.4905663895,163.4188527402
100,10005,70,169.8202327559,302.3159636900
100,10005,71,391.4916751904,454.5469431729
100,10005,72,205.4257759308,193.5113545752
100,10005,73,902.0029273885,402.0029273885
100,10005,74,851.4251619339,299.0698733672
100,10005,75,253.7397520870,613.6459689311
100,10005,76,160.3558202423,161.9234271609
100,10005,77,378.0452943054,744.2508850240
100,10005,78,259.5162004725,660.7545709646
100,10005,79,974.0597628450,628.7419965990
100,10005,80,246.2244479209,622.1786044781
100,10005,81,929.7111126045,0.0000000000
100,10005,82,860.0660278017,517.6077159564
100,10005,83,821.1474384850,859.6832577276
100,10005,84,876.6119168177,870.3595647316
100,10005,85,735.7558240487,382.3816858226
100,10005,86,804.6994168052,714.8158233266
100,10005,87,198.1782596944,89.1035826718
100,10005,88,767.9527708805,733.2713515963
100,10005,89,338.9990249951,375.9580355396
100,10005,90,444.1019460733,729.0018121553
100,10005,91,380.1510550500,776.0698243774
100,10005,92,661.4688226897,332.9078744225
100,10005,93,280.0937555144,488.7172262451
100,10005,94,394.5988187873,847.8660789134
100,10005,95,752.9399730525,752.8391231851
100,10005,96,779.9681588936,344.9762950415
100,10005,97,275.2449219507,318.6400417830
100,10005,98,607.7645154357,405.9683489045
100,10005,99,751.1465058135,784.7504455678
100,10006,0,133.4022132574,623.2229791630
100,10006,1,205.9926416685,773.5224230919
100,10006,2,203.7400220845,994.8080054052
100,10006,3,126.0494580878,1000.0000000000
100,10006,4,288.3729858229,370.0074872245
100,10006,5,379.0011506740,853.9779530273
100,10006,6,200.5958623017,760.6967140095
100,10006,7,758.1212947410,623.3647720376
100,10006,8,221.6373918193,217.4871640227
100,10006,9,247.5899958707,656.2249147154
100,10006,10,433.1559102500,738.9590676406
100,10006,11,268.4371686508,879.2407241805
100,10006,12,48.5927234232,53.0990201195
100,10006,13,755.4495086200,640.3596543036
100,10006,14,741.1964247302,932.7763149781
100,10006,15,206.8519579622,739.1304088547
100,10006,16,232.3276347428,606.7162478507
100,10006,17,367.6515328173,781.3232268447
100,10006,18,683.4499291956,767.3223985182
100,10006,19,140.1632327433,652.2004478067
100,10006,20,378.5723750774,262.2153574068
100,10006,21,758.5496159010,765.6827901982
100,10006,22,741.0597680609,929.1783317625
100,10006,23,173.8191221222,159.2150932459
100,10006,24,664.1247127420,236.4358230004
100,10006,25,110.4385951025,751.5521767194
100,10006,26,350.6558577251,404.9790792522
100,10006,27,155.3412098780,673.6428913968
100,10006,28,624.3070305074,328.9877324061
100,10006,29,250.8834731251,178.0117471335
100,10006,30,633.4326802063,219.7778506987
100,10006,31,351.9888194327,351.9497147080
100,10006,32,820.0993332089,173.4869118898
100,10006,33,762.0169021865,808.9929039219
100,10006,34,289.9156399428,159.7650103760
100,10006,35,750.4779141975,71.9709312603
100,10006,36,580.6155295290,572.6355279088
100,10006,37,275.8392990060,270.5506303786
100,10006,38,720.7390047337,682.9497905463
100,10006,39,784.9221241637,45.7170755374
100,10006,40,764.9817262283,326.1573813292
100,10006,41,771.2213355727,808.3902813698
100,10006,42,907.4476569424,196.6098312241
100,10006,43,261.9812332630,586.2908255296
100,10006,44,221.1360444652,149.5317234654
100,10006,45,164.0691058976,401.5536914198
100,10006,46,362.8139615129,623.0069657052
100,10006,47,120.3999592702,540.0331980221
100,10006,48,831.4084474297,853.4945076656
100,10006,49,309.1511511001,717.1473715959
100,10006,50,77.5799552888,743.8811242529
100,10006,51,841.6065180656,199.3053307643
100,10006,52,129.3887075031,285.7552046085
100,10006,53,444.6979152623,664.2318242665
100,10006,54,375.1939746183,308.6258889207
100,10006,55,61.0919769047,573.2735422082
100,10006,56,289.1977817137,733.3483202902
100,10006,57,732.6635577578,235.2873123101
100,10006,58,168.8540956786,628.2029899436
100,10006,59,917.7004629400,332.8873546964
100,10006,60,320.1195638127,343.6041341088
100,10006,61,87.1222843638,419.7673611631
100,10006,62,601.4105766276,816.2405021967
100,10006,63,152.4267756999,98.9442492144
